Latitude,Longitude
32.33563,-6.37486
32.3358566,-6.3747879
32.3362989,-6.3746213
32.3366494,-6.3744425
32.3369413,-6.3742809
32.3370433,-6.3741617
32.3371107,-6.3736128
32.3370192,-6.3730483
32.3370018,-6.3731824
32.3371214,-6.3737855
32.3373399,-6.3739418
32.3377385,-6.3737976
32.33825,-6.3733663
32.338593,-6.3730414
32.3391094,-6.3725571
32.3395921,-6.3720775
32.339986,-6.3716324
32.3403747,-6.3711227
32.3407342,-6.370587
32.3411436,-6.3699633
32.3414877,-6.3693942
32.3418193,-6.3687766
32.3419672,-6.3682203
32.3422524,-6.367709
32.3424926,-6.3671591
32.3427601,-6.3662596
32.3429373,-6.365572
32.3430615,-6.3649782
32.343207,-6.3641133
32.3433428,-6.3632727
32.3439425,-6.3624824
32.3439971,-6.3621916
32.3436932,-6.3616183
32.3437478,-6.3608749
32.3438831,-6.3602413
32.3440214,-6.3595081
32.3441659,-6.3588753
32.3442757,-6.3582511
32.3442833,-6.3574352
32.3444532,-6.3567751
32.3445884,-6.3563014
32.3446757,-6.3558518
32.3448069,-6.3550833
32.3449598,-6.3542514
32.3448146,-6.353448
32.3443274,-6.3536219
32.3438413,-6.3537079
32.343444,-6.3536177
32.343004,-6.3534681
32.342464,-6.3533521
32.3420229,-6.353259
32.3417628,-6.3531895
32.3412621,-6.353073
32.3408179,-6.3529813
32.3406743,-6.3529209
32.3406258,-6.3528922
32.3404217,-6.3528626
32.3398908,-6.3527481
32.3395297,-6.3524845
32.3398735,-6.3519649
32.3401558,-6.3517446
32.3402617,-6.3511998
32.3403477,-6.3507212
32.3404271,-6.3500839
32.3404567,-6.3496323
32.3405506,-6.3493419
32.3406465,-6.3489628
32.3443274,-6.3536219
32.3438413,-6.3537079
32.343444,-6.3536177
32.343004,-6.3534681
32.342464,-6.3533521
32.3420229,-6.353259
32.3417628,-6.3531895
32.3412621,-6.353073
32.3408179,-6.3529813
32.3406743,-6.3529209
32.3406258,-6.3528922
32.3404217,-6.3528626
32.3398908,-6.3527481
32.3395297,-6.3524845
32.3398735,-6.3519649
32.3401558,-6.3517446
32.3402617,-6.3511998
32.3403477,-6.3507212
32.3404271,-6.3500839
32.3404567,-6.3496323
32.3405506,-6.3493419
32.3406465,-6.3489628
32.3407252,-6.3486231
32.3408532,-6.3479453
32.3409567,-6.3474675
32.3410033,-6.3468319
32.3409899,-6.3463898
32.340876,-6.345899
 32.3407564,-6.3455141
32.3406663,-6.3448554
32.3405482,-6.3441397
32.3403516,-6.3439787
32.3404338,-6.3439175
32.3407675,-6.3439185
32.3411702,-6.3437614
32.3413136,-6.3437462
32.3413615,-6.3437552
32.3413282,-6.3437721
32.3411035,-6.3438064
32.3412192,-6.3437802
32.341235,-6.3437858
32.3411531,-6.343796
32.3412192,-6.3437837
32.3412622,-6.3437786
32.3412028,-6.3437899
